,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
lp__,-2786.55,0.153592,4.83848,4.69984,-2795.34,-2786.08,-2779.33,1015.53,1542.08,1.00192
alpha,-8.24258,0.0149087,0.559276,0.515203,-9.16048,-8.23569,-7.344,1412.36,2052.35,1.00233
alpha_cell_raw[1],-1.54171,0.0128911,0.653552,0.661247,-2.62676,-1.51447,-0.480203,2698.18,2781.23,1.0022
alpha_cell_raw[2],-0.0296397,0.0105108,0.528302,0.528926,-0.913748,-0.0166217,0.842268,2567.5,2809.59,1.00124
alpha_cell_raw[3],1.61439,0.0140914,0.676989,0.674902,0.564063,1.58617,2.79688,2334.09,2407.02,1.00209
alpha_cell_raw[4],-0.644196,0.0130479,0.711659,0.697798,-1.78401,-0.650551,0.527906,3029.2,2827.73,1.00172
alpha_cell_raw[5],0.441228,0.0117712,0.470611,0.471993,-0.305558,0.428426,1.22383,1615.73,2226.71,1.00138
alpha_cell_raw[6],-0.344097,0.0117505,0.477987,0.47796,-1.12723,-0.348031,0.440271,1665.72,2095.56,1.00141
alpha_cell_raw[7],0.216213,0.0118554,0.463471,0.463306,-0.531187,0.212343,0.981851,1564.08,2310.85,1.00211
alpha_cell_raw[8],0.306133,0.0117822,0.50387,0.496009,-0.505161,0.298953,1.16014,1849.64,2358.68,1.00067
sigma_cell,1.27001,0.00897778,0.409877,0.352401,0.74809,1.1996,2.06572,1928.17,2556.12,1.00116
beta_inequity_cell_raw[1],0.572486,0.011941,0.676007,0.662346,-0.531934,0.557246,1.67229,3222.33,2635.8,1.00159
beta_inequity_cell_raw[2],-1.23148,0.0122228,0.671443,0.679241,-2.36758,-1.20266,-0.166772,3092.03,3130.04,1.00011
beta_inequity_cell_raw[3],0.980407,0.012865,0.674669,0.661006,-0.0629333,0.94128,2.16085,2750.82,2545.74,1.00126
beta_inequity_cell_raw[4],0.450559,0.0134992,0.854875,0.835401,-0.949322,0.458593,1.88661,4065.7,3176.6,1.00023
beta_inequity_cell_raw[5],-0.82298,0.0105361,0.611055,0.575169,-1.82867,-0.817514,0.169611,3345.86,3038.63,1.00066
beta_inequity_cell_raw[6],0.698369,0.0117924,0.625586,0.623146,-0.298765,0.683234,1.7555,2872.75,2898.02,1.00077
beta_inequity_cell_raw[7],-0.859244,0.0104275,0.548441,0.540322,-1.75574,-0.846323,0.0374517,2805.56,2940.38,1.00056
beta_inequity_cell_raw[8],0.0829709,0.0114374,0.602381,0.597064,-0.859233,0.0583696,1.08737,2787.16,3008.03,1.00079
mu_beta_inequity,-0.0999433,0.0073127,0.338309,0.312002,-0.651216,-0.111007,0.456754,2172.26,2615.45,1.00087
sigma_beta_inequity,0.711472,0.00551789,0.253695,0.225518,0.383035,0.666336,1.19296,2075.86,2929.42,1.00122
beta[1],0.888977,0.00277447,0.160205,0.159552,0.624468,0.887771,1.15339,3363.93,3189.29,0.999734
beta[2],0.0862713,0.000402593,0.0282657,0.0274984,0.0390109,0.0872104,0.131399,4976.66,3108.07,1.00332
beta[3],-0.00777357,0.00083789,0.05542,0.0545806,-0.0964838,-0.00808343,0.0848194,4414.43,3274.74,0.999394
beta[4],-0.00952591,0.00121162,0.0729292,0.0730737,-0.126772,-0.0102468,0.109502,3723.08,3219.76,1.00067
beta[5],0.0956104,0.000522865,0.0347261,0.0341393,0.0376129,0.0956223,0.151286,4442.81,2944.99,1.00093
beta[6],-0.132916,0.000473744,0.0313133,0.0312495,-0.184372,-0.132574,-0.0809311,4416.66,3050.96,1.00034
beta[7],0.0459729,0.000452948,0.030371,0.0302613,-0.0034754,0.0462818,0.0958258,4500.97,3359.64,1.00282
beta_race_x_ineq,-0.481711,0.00347668,0.185003,0.183048,-0.801051,-0.473329,-0.18933,2842.83,2968.37,1.00098
beta_geo[1],0.0135736,0.0138333,0.702606,0.682148,-1.13495,0.00720758,1.17234,2604.99,2490.96,1.00097
beta_geo[2],-0.536988,0.0138249,0.827854,0.810428,-1.84374,-0.554493,0.845187,3592.47,2511.73,1.00095
beta_geo_x_ineq[1],0.547135,0.00951133,0.473309,0.463002,-0.239855,0.56235,1.2854,2531.85,2750.14,1.00287
beta_geo_x_ineq[2],0.668334,0.011301,0.667214,0.65698,-0.436417,0.68165,1.73163,3559.7,2992.67,1.00068
phi,4.9594,0.00472561,0.341058,0.335705,4.40161,4.95552,5.52805,5265.85,2785.41,1.00373
alpha_cell[1],-1.81741,0.0141349,0.70717,0.670261,-3.0187,-1.79011,-0.680327,2550.33,2778.66,1.00172
alpha_cell[2],-0.0236995,0.0132249,0.67672,0.630353,-1.10902,-0.0221199,1.11185,2639.66,2585.11,1.00137
alpha_cell[3],1.89177,0.0134086,0.683323,0.629379,0.81081,1.87182,3.05421,2629.0,2938.25,1.00162
alpha_cell[4],-0.813813,0.0184925,0.904613,0.86596,-2.34119,-0.787677,0.597275,2476.46,2449.0,1.00045
alpha_cell[5],0.52688,0.0150219,0.59034,0.550236,-0.381386,0.51195,1.53936,1559.33,2288.57,1.00184
alpha_cell[6],-0.414792,0.0151937,0.596857,0.56807,-1.39838,-0.410879,0.532054,1545.2,2282.23,1.00159
alpha_cell[7],0.263963,0.0151696,0.586816,0.555928,-0.65481,0.2471,1.26142,1529.95,2061.34,1.00258
alpha_cell[8],0.367035,0.0147358,0.627352,0.584727,-0.641368,0.356563,1.43162,1827.02,2604.27,1.00139
beta_inequity_cell[1],0.307199,0.011234,0.548124,0.518645,-0.531693,0.277064,1.24341,2446.95,2489.16,1.00332
beta_inequity_cell[2],-0.905568,0.00967524,0.510221,0.488009,-1.74551,-0.899777,-0.0806887,2805.49,2960.75,1.00083
beta_inequity_cell[3],0.52538,0.00997633,0.50194,0.492631,-0.283873,0.511395,1.34201,2577.77,2677.22,1.00178
beta_inequity_cell[4],0.235361,0.0123748,0.663899,0.601434,-0.769647,0.184594,1.41764,3046.26,2601.4,1.00113
beta_inequity_cell[5],-0.674686,0.00512564,0.355289,0.349069,-1.26227,-0.671938,-0.113143,4865.78,2956.86,1.00148
beta_inequity_cell[6],0.366355,0.00487854,0.288295,0.290795,-0.0923564,0.354327,0.857197,3505.04,3709.36,1.00038
beta_inequity_cell[7],-0.684731,0.00435095,0.236776,0.234432,-1.0751,-0.6843,-0.295501,2988.2,3290.29,1.00004
beta_inequity_cell[8],-0.0701245,0.00429922,0.310581,0.311872,-0.583867,-0.0679793,0.432386,5281.65,3467.37,1.00074
beta_geo_full[1],0.0135736,0.0138333,0.702606,0.682148,-1.13495,0.00720758,1.17234,2604.99,2490.96,1.00097
beta_geo_full[2],-0.536988,0.0138249,0.827854,0.810428,-1.84374,-0.554493,0.845187,3592.47,2511.73,1.00095
beta_geo_full[3],0.0,,0.0,0.0,0.0,0.0,0.0,,,
beta_geo_x_ineq_full[1],0.547135,0.00951133,0.473309,0.463002,-0.239855,0.56235,1.2854,2531.85,2750.14,1.00287
beta_geo_x_ineq_full[2],0.668334,0.011301,0.667214,0.65698,-0.436417,0.68165,1.73163,3559.7,2992.67,1.00068
beta_geo_x_ineq_full[3],0.0,,0.0,0.0,0.0,0.0,0.0,,,
log_lik[1],-3.20197,0.0018964,0.127025,0.125613,-3.43373,-3.1887,-3.02263,4607.32,3271.84,0.999825
log_lik[2],-4.78191,0.00125064,0.078761,0.0577621,-4.93501,-4.76448,-4.68894,4279.01,3263.88,1.00187
log_lik[3],-3.55292,0.0009583,0.0584269,0.0443149,-3.66065,-3.54204,-3.48195,4204.52,3483.21,1.00004
log_lik[4],-4.11665,0.00270885,0.180613,0.168297,-4.45244,-4.08686,-3.88012,4646.32,3782.82,1.00028
log_lik[5],-6.24892,0.000957664,0.0548257,0.0463757,-6.34909,-6.24221,-6.17576,3789.44,2929.92,1.00105
log_lik[6],-3.90264,0.00265588,0.170189,0.164406,-4.2195,-3.87771,-3.67545,4222.69,3760.31,1.00082
log_lik[7],-6.10295,0.0069721,0.454986,0.446589,-6.91287,-6.06473,-5.41476,4262.26,3653.04,0.999495
log_lik[8],-4.3812,0.000927577,0.0562101,0.0458272,-4.48569,-4.37278,-4.30865,4087.57,3058.21,1.00048
log_lik[9],-5.82833,0.00098728,0.0601859,0.0489999,-5.94166,-5.81914,-5.75035,3880.05,3244.69,1.00087
log_lik[10],-2.88948,0.00470137,0.300196,0.292599,-3.4166,-2.86311,-2.43875,4159.66,3879.19,1.00007
log_lik[11],-6.68028,0.00403634,0.261643,0.262502,-7.13844,-6.65843,-6.30078,4335.27,3967.25,1.00016
log_lik[12],-5.28809,0.00306362,0.194663,0.196912,-5.6367,-5.27032,-5.01672,4135.6,3614.34,1.0004
log_lik[13],-3.23197,0.00338775,0.222163,0.216363,-3.62387,-3.217,-2.89557,4413.11,3994.86,1.00113
log_lik[14],-6.1157,0.00414361,0.271692,0.260078,-6.62123,-6.07527,-5.76226,4421.92,4034.3,1.00033
log_lik[15],-2.59241,0.00369572,0.23955,0.231204,-3.02742,-2.56196,-2.25852,4314.67,3908.78,0.999958
log_lik[16],-7.03654,0.00119541,0.0790463,0.0611276,-7.19652,-7.0187,-6.94345,4730.69,3527.65,0.999759
log_lik[17],-3.07617,0.000813765,0.0493759,0.0403712,-3.16821,-3.06824,-3.01234,3702.7,3289.87,0.999429
log_lik[18],-4.69283,0.0037599,0.241244,0.203605,-5.17344,-4.62767,-4.43014,4408.95,3869.23,1.00005
log_lik[19],-3.82803,0.00367747,0.234892,0.236675,-4.25015,-3.8106,-3.47848,4249.08,3594.52,1.00074
log_lik[20],-4.16381,0.0011008,0.067798,0.0531586,-4.29681,-4.15004,-4.0812,4209.88,3440.77,1.0012
log_lik[21],-4.55605,0.00299798,0.20308,0.197727,-4.93623,-4.52366,-4.28825,4504.16,3805.12,0.999752
log_lik[22],-6.71197,0.00149735,0.0956939,0.0815578,-6.89737,-6.69261,-6.59292,4663.17,3746.82,1.00029
log_lik[23],-3.8714,0.0014453,0.0901395,0.0596895,-4.0542,-3.84825,-3.77805,3623.31,3312.76,0.999787
log_lik[24],-3.08435,0.000913816,0.0577598,0.0438331,-3.19096,-3.07289,-3.01611,4466.57,3643.74,1.00053
log_lik[25],-6.16442,0.00730153,0.474151,0.473157,-7.00659,-6.11919,-5.48381,4269.48,3735.76,0.999872
log_lik[26],-4.42625,0.000682339,0.0441969,0.0400747,-4.50462,-4.42234,-4.36183,4404.02,3006.42,1.00092
log_lik[27],-3.18184,0.00521588,0.332736,0.255756,-3.85837,-3.0785,-2.86016,3966.0,3598.76,0.999997
log_lik[28],-5.53847,0.00304799,0.197891,0.192753,-5.89071,-5.51787,-5.25908,4291.69,3564.39,0.999766
