unique_id,type,state,town,clean_name,county,treated,townurl,confidence_level,ordinance,current_status,exclusion_method,excluded_groups,comments,match_assignment_method,centroid2020,contemporary_place_match,unique_place_matches,matching_cdp,matching_cousub,matching_county,PLACENHG,NAME1970,GJOIN1970,NAME1980,GJOIN1980,NAME1990,GJOIN1990,NAME2000,GJOIN2000,NAME2010,GJOIN2010,NAME2020,GJOIN2020,county_fips,COUNTY,NHGISCODE
00001,place,AL,Arab,Arab,NA,1,https://justice.tougaloo.edu/sundowntown/arab-al/,Surely,Don't Know,Probably,Private Bad Behavior,Black,"Asked why there are no blacks in Arab, a resident (who has lived in Arab since 1927) says, “It’s always
been that way. There was one in the Roof community;
they called him Rabbit, Nigger Rabbit. Everybody liked
him.” He lived there until he died. “In the ’40s, maybe
50s, if they came shopping or something like that,
they’d run ’em out of town.” It was one guy, really, a
chiropractor. It’d be different now, “That happened a
long time ago, and it’s still in their [blacks’] minds.”",Census fuzzy string match,NA,CDP:02116,CDP:02116,02116,NA,NA,G010021160,Arab city,G0100065,Arab city,G0100065,Arab city,G01002116,Arab city,G01002116,Arab city,G01002116,Arab city,G01002116,NA,NA,NA
00002,place,AL,Chickasaw,Chickasaw,NA,1,https://justice.tougaloo.edu/sundowntown/chickasaw-al/,Probable,Don't Know,Surely Not,Unknown,Black,"“I was born in Mobile in 1931, and being a
person of color, the family members were the source
of the talk. The sign read ‘Nigger, don’t be caught
here after the sun goes down,’ or something to that
effect.”
-resident of Mobile",Census fuzzy string match,NA,CDP:14392,CDP:14392,14392,NA,NA,G010143920,Chickasaw city,G0100365,Chickasaw city,G0100365,Chickasaw city,G01014392,Chickasaw city,G01014392,Chickasaw city,G01014392,Chickasaw city,G01014392,NA,NA,NA
00003,place,AL,Cullman,Cullman,NA,1,https://justice.tougaloo.edu/sundowntown/cullman-al/,Surely,Don't Know,Probably,NA,Black,"Cullman’s 27 black residents include 13 children
(ages 1-17), none living with black adults; two
black married couples, both childless; 4 blacks
listed as in “non-family households” which may be
live-in domestic help or foster children, and some
young black males.",Census fuzzy string match,NA,CDP:18976,CDP:18976,18976,NA,NA,G010189760,Cullman city,G0100450,Cullman city,G0100450,Cullman city,G01018976,Cullman city,G01018976,Cullman city,G01018976,Cullman city,G01018976,NA,NA,NA
00004,county,AL,Cullman County,Cullman County,01043,1,https://justice.tougaloo.edu/sundowntown/cullman-county-al/,Surely,Don't Know,Probably,Unknown,Black,email 1/2008,Census fuzzy string match,NA,county:01043,county:01043,NA,NA,01043,NA,NA,G0100430,NA,G0100430,NA,G0100430,NA,G0100430,NA,G0100430,NA,G0100430,NA,Cullman County,G0100430
00005,no match,AL,Dixie,Dixie,NA,1,https://justice.tougaloo.edu/sundowntown/dixie-al/,Possible,Don't Know,Don’t Know,Violent Expulsion,Black,"“After wreaking vengeance on the Negro population of
Dixie, a small town near here [Dothan], driving every
black from the village and killing one last night, a mob
is searching the countryside for another Negro. The
body of Miss Estelle Brown was found in her home last
night, the head pierced by two bullets. Across the
body lay a rifle. A Negro was seen near the home a
short time before the body was found. A mob formed
and proceeded to Dixie, of which the major portion of
the inhabitants are Negroes.”",No Contemporary Place Match. Located Place Centroid,"-86.719404, 31.1446197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00006,place,AL,Fyffe,Fyffe,NA,1,https://justice.tougaloo.edu/sundowntown/fyffe-al/,Possible,Don't Know,"Probably Not, Although Still Very Few Black People",Unknown,Black,NA,Census fuzzy string match,NA,CDP:28672,CDP:28672,28672,NA,NA,G010286720,Fyffe town,G0100680,Fyffe town,G0100680,Fyffe town,G01028672,Fyffe town,G01028672,Fyffe town,G01028672,Fyffe town,G01028672,NA,NA,NA
00007,place,AL,Good Hope,Good Hope,NA,1,https://justice.tougaloo.edu/sundowntown/good-hope-al/,Probable,Don't Know,"Probably Not, Although Still Very Few Black People",Unknown,Black,NA,Census fuzzy string match,NA,CDP:30496,CDP:30496,30496,NA,NA,G010304960,Good Hope town,G0100752,Good Hope town,G0100752,Good Hope town,G01030496,Good Hope town,G01030496,Good Hope town,G01030496,Good Hope city,G01030496,NA,NA,NA
00008,place,AL,Hanceville,Hanceville,NA,1,https://justice.tougaloo.edu/sundowntown/hanceville-al/,Probable,Don't Know,Surely Not,Unknown,Black,"In 1920, Hanceville’s 8 African Americans were all
adults, indicating that they were probably live-in
domestic servants.",Census fuzzy string match,NA,CDP:32968,CDP:32968,32968,NA,NA,G010329680,Hanceville city,G0100845,Hanceville city,G0100845,Hanceville city,G01032968,Hanceville city,G01032968,Hanceville city,G01032968,Hanceville city,G01032968,NA,NA,NA
00009,place,AL,Hokes Bluff,Hokes Bluff,NA,1,https://justice.tougaloo.edu/sundowntown/hokes-bluff-al/,Probable,Don't Know,"Probably Not, Although Still Very Few Black People",Unknown,Black,NA,Census fuzzy string match,NA,CDP:35392,CDP:35392,35392,NA,NA,G010353920,Hokes Bluff city,G0100905,Hokes Bluff city,G0100905,Hokes Bluff city,G01035392,Hokes Bluff city,G01035392,Hokes Bluff city,G01035392,Hokes Bluff city,G01035392,NA,NA,NA
00010,place,AL,Nauvoo,Nauvoo,NA,1,https://justice.tougaloo.edu/sundowntown/nauvoo-al/,Surely,Don't Know,"Probably Not, Although Still Very Few Black People",Unknown,Black,"In approximately 1930, “the blacks lived in a small
area near the mining camp about 5 miles out of town
and there were no restrictions until a black man broke
into the house of a prominent citizen of Nauvoo with
the intention of harming his wife (or so the story goes)
and after that blacks had to be out of town by 6 in the
evening. There was a sign in the town that did say,
‘Don’t let the sun set on your heels in this town
Nigger.’
“I don’t have any idea when the sign came down. I
think I remember it in the early 50’s but it must have
come down with civil rights. I do remember very
clearly that blacks were not allowed to eat in
restaurants and had to eat at picnic tables out back.
And of course the restrooms and water fountains were
marked whites only.
“My grandparents had a cotton farm and hired many
black men and women to help picking and according
to my 82 year old mother they were treated as equals
on their farm and served dinner (noon meal) along
with everyone else on the farm. She did say that
churches and schools were definitely segregated, no
surprise there.”
-former resident of Nauvoo",Census fuzzy string match,NA,CDP:53400,CDP:53400,53400,NA,NA,G010534000,Nauvoo town,G0101235,Nauvoo town,G0101235,Nauvoo town,G01053400,Nauvoo town,G01053400,Nauvoo town,G01053400,Nauvoo town,G01053400,NA,NA,NA
00011,place,AL,Oneonta,Oneonta,NA,1,https://justice.tougaloo.edu/sundowntown/oneonta-al/,Probable,Don't Know,Surely Not,Unknown,Black,Oneonta is located in the Sand Mountain region.,Census fuzzy string match,NA,CDP:57000,CDP:57000,57000,NA,NA,G010570000,Oneonta city,G0101305,Oneonta city,G0101305,Oneonta city,G01057000,Oneonta city,G01057000,Oneonta city,G01057000,Oneonta city,G01057000,NA,NA,NA
00012,place,AL,Orange Beach,Orange Beach,NA,1,https://justice.tougaloo.edu/sundowntown/orange-beach-al/,Probable,Don't Know,"Probably Not, Although Still Very Few Black People",Unknown,Black,NA,Census fuzzy string match,NA,CDP:57144,CDP:57144,57144,NA,NA,G010571440,NA,NA,NA,NA,Orange Beach city,G01057144,Orange Beach city,G01057144,Orange Beach city,G01057144,Orange Beach city,G01057144,NA,NA,NA
00013,no match,AL,Sand Mountain,Sand Mountain,NA,1,https://justice.tougaloo.edu/sundowntown/sand-mountain-al/,Surely,Don't Know,Don’t Know,Unknown,Black,"“When I taught in northeast Alabama, the Sand
Mountain area (Boaz, Albertville, etc.) was known for
excluding blacks historically. As one old-timer told
one of my students in an interview on the [Great]
Depression and race relations, ‘We didn’t have any
racial problems back then. As long as they were off
the mountain by sundown, there weren’t any
problems.'”",No Contemporary Place Match. Located Place Centroid,"-86.9125, 32.854722",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00014,place,AL,Vestavia Hills,Vestavia Hills,NA,1,https://justice.tougaloo.edu/sundowntown/vestavia-hills-al/,Possible,Don't Know,Surely Not,Zoning,Jewish,"“In Vestavia, an incorporated suburb of Birmingham
consisting of several subdividions, the deeds to the
homes and lots bear a restrictive covenant providing
that the original purchaser cannot sell or transfer the
property without the express consent and approval of
a committee appointed by the developer.”",Census fuzzy string match,NA,CDP:78552,CDP:78552,78552,NA,NA,G010785520,Vestavia Hills city,G0101755,Vestavia Hills city,G0101755,Vestavia Hills city,G01078552,Vestavia Hills city,G01078552,Vestavia Hills city,G01078552,Vestavia Hills city,G01078552,NA,NA,NA
00015,place,AL,West Point,West Point,NA,1,https://justice.tougaloo.edu/sundowntown/west-point-al/,Probable,Don't Know,Don’t Know,Unknown,NA,"email 1/2008 SOUTHERN PARTY The Southern Party has its first elected official. Wayne Willingham was elected Mayor of West Point, Alabama, on August 22, [2000], by a vote of 41-40. The election was non-partisan. All-white town, pop. 295 in 2000. His brother is the lawyer of choice for members of the KKK and other white supremacist groups all across the South and, finally, his father is widely believed to have been the main leader of the KKK and other white supremacist activities in Cullman county for the past five decades. This is pretty common knowledge in Cullman county. %u2013 comment at Left in Alabama, leftinalabama.com/showDiary.do?diaryId=716, 11/2007. His family has numerous Klan and Council of Conservative Citizens ties",Census fuzzy string match,NA,CDP:81528,CDP:81528,81528,NA,NA,G010815280,NA,NA,West Point town,G0101821,West Point town,G01081528,West Point town,G01081528,West Point town,G01081528,West Point town,G01081528,NA,NA,NA
00016,county,AL,Winston County,Winston,01133,1,https://justice.tougaloo.edu/sundowntown/winston-county-al/,Probable,NA,NA,NA,Black,Email 2/2008,TotalCensus Geography Match,NA,"NA,COUNTY:133","NA,COUNTY:133",NA,NA,133,NA,NA,G0101330,NA,G0101330,NA,G0101330,NA,G0101330,NA,G0101330,NA,G0101330,NA,Winston County,G0101330
00017,place,AZ,Bisbee,Bisbee,NA,1,https://justice.tougaloo.edu/sundowntown/bisbee-az/,Probable,"Perhaps, Some Oral Evidence",Surely Not,Police or Other Official Action,Asian,"According to Katherine Benton-Cohen, an Assistant Professor of History at Louisiana State University, Bisbee had a reputation as a white man’s camp, which lasted until at least 1929, when an ad touting Bisbee in the Arizona Labor Journal called it “the last stand of the white miner.” She said that Bisbee excluded blacks, who in some ways were treated better than Mexicans and Chinese. However, Chinese were not allowed to live in Bisbee at all, and Mexicans were formally excluded from the best mining jobs in the town.",Census fuzzy string match,NA,CDP:06260,CDP:06260,06260,NA,NA,G040062600,Bisbee city,G0400025,Bisbee city,G0400025,Bisbee city,G04006260,Bisbee city,G04006260,Bisbee city,G04006260,Bisbee city,G04006260,NA,NA,NA
